Type,Quantity
AL1,86
AL1,86
AL1,86
AL1,25
AS1,3
AS2,6
AS1/AS2,3
AS1,4
AS2,4
AS1/AS2,2
AS2,6
AS2,3
AS2,40
AS2,10
B1,136
"B1.8'",44
"B1.12'",48
B2,85
B3,12
B4,4
BH1,37
BH2,6
DF1,10
DF1A,3
DF4,4
DP3,4
DW1,2
FS1,8
FS1,8
FS2,2
FS3,6
FS4,6
GA,244
GA1,207
GH2,28
GH2A,28
GH3,6
GH3,6
GH3,2
GH4,78
GH4,78
GH4,4
GL2,3
LP1,4
LP1 EM,4
LP2,1
LP2 EM,7
LP2 EM,1
LP2 EM,1
LP2 EM,1
LP2,1
LP2 EM,2
LP2 EM,1
LP2 EM,1
LP2,1
LP2,1
LP2 EM,1
LP2 EM,1
LP3,2
LP3A,2
LP3B,4
LR1,1
LR3,1
LR3 EM,1
LR3,1
LR3 EM,1
LR3,6
LR3 EM,2
LR3,3
LR3 EM,2
LR3,6
LR3,1
LR3,1
LR5,11
LR5,4
LS2,10
LS2,10
LS2,10
LS2,6
LS2,6
LS2,6
LS2,6
LS2,6
LS2,6
LS2A,6
LS2A,6
LS2A,1
LS2A,45
LS2A,45
LS2A,11
LS2A,11
LS2A,51
LS3,5
LS3,17
LS3,18
LS3,4
LT-101,2
LT-102,
LT-103,
LT-104,4
LT-104.1,4
LT-104.2,31
LT-105,
LT106,3
LT106.1,
LT-106.2,
LT-106.3,
LT-106.4,
LT-106.5,
LT-107,2
LT-107,2
LT-108,3
LT-109,2
LT-110,
LT-112,12
LT-113,2
LT-115,
LT-116,
LT-117,
LT-118,2
PH1,6
PH2,3
PH3,1
PH3-POLE,1
RA1,16
RA1,48
RA1,16
RA1A,13
RA1A,39
RA1A,13
RA2,16
RA2,16
RA2,16
RA3,7
RA3,4
RA4,8
RA5,14
RD2,155
RD2,155
RD2,155
RD2,155
RD3,4
RD4,13
RD4,13
RD4,13
RD6A,15
RD6A,15
RD6A,15
RD6A,15
RD7,34
RD7,34
RD8,627
RD8,627
RW1,11
RW1,11
RW1,11
RW3,123
SC1,248
SC1,8
SC1,8
SC1/SC3,2
SC1,4
SC1,7
SC1/SC3,1
SC1,2
SC2,1
SC2,1
SC3,88
SC3,1
SC3,1
SC3,15
SC3,15
SC3,30
SC3,1
SC3,1
SC3,2
SR1,298
SR1,24
SR1,42
SR1,42
SR1,1
SR1,15
SR1,10
SR1,11
SR1,9
SR2,102
SR2,28
SR2,11
SS3,17
SS3,2
SS3,3
SS3,2
SS6,2
SS6,4
SS6,2
SS6,6
SS6,1
SS6,14
SS6A,1
SS6A,2
SS7,426
SS7,30
SS7,30
SS7,426
SS7,5
SS7,3
SS7,5
SS9,26
SS9,52
SS9,91
SS9,91
SS9,78
SS9,155
SS9,247
SS9,247
SS9,4
SS9,7
SS9,10
SS9,10
SS9,1
SS9,2
SS9,2
SS9,2
SS9,2
SS9,4
SS9,4
SS9,4
SS9,1
SS9,2
SS9,2
SS9,2
SS9,2
SS9,3
SS9,2
SS9,2
WR1,68
WR2,25
"WS1 4'8""",1
"WS1 7'6""",1
WS3,16
WS4,4
BX(S),250
BX(D),55
XA,17
XK,1
U1,4259
U1A,345
U2,532
U3,4269
U3,28
U3,681
U4,517
U5,40
U8,790
U8,790
U9,325
