Type,Quantity,CLI Catalog #
D1A,6,"LUC F3RS-1-F-*-90S-11A-35-60-04-NC-1-EN1"
L-2,,
L-2-EM,,
L4,,
L4,,
L4,,
L-7,,
L-7,,
L-411,,
"L500 (2')",,
"L500-EM (2')",,
"L500 (4')",,
"L500-EM (4')",,
"L500 (6')",,
"L500-EM (6')",,
"L500 (8')",,
L2A,,
"X1 (SF)",,
"X1 (SD)",,
D1A,31,"LUC F3RS-1-F-*-90S-11A-35-60-04-NC-1-EN1"
D1A-EM,24,"LUC F3RS-1-F-*-90S-11A-35-60-04-NC-1-EN1"
D1A-EM,1,"BES LPS-375-SDT"
D1B,13,"LUC F3RS-1-F-*-90S-11A-35-60-04-NC-1-EN1"
D2,8,"LUC F3RS1ATMWH90S(wattage)A304004ICTPH1"
DF1,1,"NAA LIGHT OBJECT-015"
DF3,1,"VIS 700LSSTG2-60-60-NB-LED927 INTERGRATED LED 90CRI 2700K 120V-277V UNV"
DF4,1,"TOB T109H18DZL"
DF5,1,"LEE ECL0111"
DF6,0,
DF7,0,
"L1A (4')",25,"LUM VIA2R-D-LGO-FH-SW-90CRI-500LMF-35K-4-UNV-DA-1C-*-*"
"L1A-EM (4')",3,"LUM VIA2R-D-LGO-FH-SW-90CRI-500LMF-35K-4-UNV-DA-1C-*-*-EM"
"L1A (6')",1,"LUM VIA2R-D-LGO-FH-SW-90CRI-500LMF-35K-6-UNV-DA-1C-*-*"
"L1A-EM(6')",1,"LUM VIA2R-D-LGO-FH-SW-90CRI-500LMF-35K-6-UNV-DA-1C-*-*EM"
"L1A (8')",1,"LUM VIA2R-D-LGO-FH-SW-90CRI-500LMF-35K-8-UNV-DA-1C-*-*"
"L1A-EM (8')",1,"LUM VIA2R-D-LGO-FH-SW-90CRI-500LMF-35K-8-UNV-DA-1C-*-*EM"
L-2,,"LIT LEDP-22-WH-35-20-120/277"
L-2-EM,,"LIT LEDP-22-WH-35-20-120/277-EM"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-50-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-44-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-88-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-33-LEVIC-NA-NA"
L2A,2,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-6-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-7-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-12-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-*-19-LEVIC-NA-NA"
L2A,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA-SQR-40-LEVIC-NA-NA"
L2B,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA--48-LEVIC-NA-NA"
L2B,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA--54-LEVIC-NA-NA"
L2B,1,"LUM EVOQPAT-AWO-SW-90CRI-500LMF-30K-UNV-DA-1C-EVLC-NA-NA--92-LEVIC-NA-NA"
L3,,
L4,,"DIO DI-24V-SE-LIN2-30-032"
"L5 (6')",1,"EKL PX-24V-2.5W-ACL-3000K90-6'-*"
"L5 (6')",2,"EKL CSB1-PCUT-MAT"
"L5 (6')",1,"EKL LM24V-100W240DW010V"
"L5 (8')",1,"EKL PX-24V-2.5W-ACL-3000K90-86-*"
"L5 (8')",1,"EKL CSB1-PCUT-MAT"
"L5 (8')",1,"EKL LM24V-100W240DW010V"
"L5 (9')",2,"EKL PX-24V-2.5W-ACL-3000K90-10'-*"
"L5 (9')",2,"EKL CSB1-PCUT-MAT"
"L5 (9')",2,"EKL LM24V-100W240DW010V"
L6,2,"DIO DI-24V-VL3-30-*-*-*-*"
L6,4,"DIO DI-CHB-S45-96-AL"
L6,4,"DIO DI-TB12-CONN-TTW"
L6,4,"DIO DI-ODX24V60W"
L-7,,"AME HDL-HP-R-NC-A17-T-18-120-010V"
L-7-EM,,
L8,1,"GE ALC6-1-4T-04-T-38-1D-S-Q-Q-Q-ST/51-K-A-Q-W"
L8EM,1,"GE ALC6-1-4T-04-T-38-1D-S-Q-Q-E-ST/51-K-A-Q-W"
L-22,2,"LIT ZL1N-L48-3000L-FST-MVOLT-35K-80CRI-WH-LBOZU"
L-411,,"FOR FN210071L_01UL"
L-412,,
"L500 (2')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-2'"
"L500-EM (2')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-2'-EMB"
"L500 (4')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-4'"
"L500-EM (4')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-4'-EMB"
"L500 (6')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-6'"
"L500-EM (6')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-6'-EMB"
"L500 (8')",,"AME GRUV4-HE-GRID-A16-PL-3-35-HW-120/277-IND-0-10V-8'"
"X1 (SF)",6,"BES RELZXTE1*-*-*-EM"
"X1 (SD)",1,"BES RELZXTE2*-*-*-EM"
